,workclass,occupation
179, Private, Prof-specialty
180, Local-gov, Exec-managerial
181, Private, Adm-clerical
182, Private, Craft-repair
183, Private, Machine-op-inspct
184, Federal-gov, Adm-clerical
185, Private, Adm-clerical
186, Self-emp-not-inc, Exec-managerial
187, ?, ?
188, Private, Prof-specialty
189, State-gov, Prof-specialty
190, Private, Machine-op-inspct
191, Private, Machine-op-inspct
192, Local-gov, Craft-repair
193, Private, Tech-support
194, Federal-gov, Tech-support
195, Private, Transport-moving
196, Private, Craft-repair
197, Federal-gov, Exec-managerial
198, Private, Prof-specialty
199, Self-emp-not-inc, Sales
200, Private, Prof-specialty
201, ?, ?
202, Private, Exec-managerial
203, Local-gov, Prof-specialty
204, State-gov, Adm-clerical
205, Private, Sales
206, Private, Other-service
207, Private, Craft-repair
208, Self-emp-inc, Sales
209, Private, Sales
210, Local-gov, Transport-moving
211, Private, Craft-repair
212, Private, Sales
213, Private, Craft-repair
214, Self-emp-inc, Machine-op-inspct
215, Private, Exec-managerial
216, Private, Sales
217, Private, Sales
218, Private, Prof-specialty
219, Private, Craft-repair
220, Private, Handlers-cleaners
221, ?, ?
222, Private, Other-service
223, Private, Adm-clerical
224, Local-gov, Machine-op-inspct
225, Private, Sales
226, ?, ?
227, Self-emp-not-inc, Farming-fishing
228, Private, Adm-clerical
229, Private, Adm-clerical
230, Private, Transport-moving
231, Private, Sales
232, Private, Adm-clerical
233, Private, Craft-repair
234, Private, Prof-specialty
235, State-gov, Other-service
236, State-gov, Adm-clerical
237, Private, Exec-managerial
238, Local-gov, Exec-managerial
239, Private, Transport-moving
240, Private, Prof-specialty
241, Self-emp-not-inc, Other-service
242, State-gov, Protective-serv
243, ?, ?
244, Private, Craft-repair
245, Private, Adm-clerical
246, Private, Adm-clerical
247, Private, Other-service
248, Private, Tech-support
249, Private, Adm-clerical
250, Private, Prof-specialty
251, Private, Adm-clerical
252, Local-gov, Other-service
253, Local-gov, Adm-clerical
254, Private, Transport-moving
255, Self-emp-not-inc, Farming-fishing
256, Private, Other-service
257, Private, Other-service
258, Private, Exec-managerial
259, Private, Craft-repair
260, Private, Prof-specialty
261, Private, Sales
262, Private, Other-service
263, Private, Sales
264, Private, Craft-repair
265, Self-emp-inc, Exec-managerial
266, ?, ?
267, Private, Exec-managerial
268, Private, Prof-specialty
269, Private, Craft-repair
270, Private, Exec-managerial
271, Private, Other-service
272, Self-emp-not-inc, Farming-fishing
273, Local-gov, Prof-specialty
274, Private, Prof-specialty
275, Private, Handlers-cleaners
276, Private, Craft-repair
277, Private, Exec-managerial
278, Private, Tech-support
279, Private, Machine-op-inspct
280, Private, Prof-specialty
281, Local-gov, Craft-repair
282, Private, Sales
283, Private, Prof-specialty
284, Private, Handlers-cleaners
285, Federal-gov, Sales
286, Private, Prof-specialty
287, Private, Other-service
288, Private, Exec-managerial
289, Private, Craft-repair
290, Private, Prof-specialty
291, Private, Prof-specialty
292, Local-gov, Protective-serv
293, Private, Sales
294, Private, Tech-support
295, Private, Transport-moving
296, Self-emp-inc, Sales
297, ?, ?
298, Private, Craft-repair
299, Private, Sales
300, Private, Adm-clerical
301, Private, Other-service
302, Private, Transport-moving
303, Private, Sales
304, Private, Adm-clerical
305, Private, Adm-clerical
306, Private, Tech-support
307, Private, Prof-specialty
308, Private, Adm-clerical
309, Self-emp-inc, Farming-fishing
310, Private, Sales
311, Private, Exec-managerial
312, ?, ?
313, Self-emp-not-inc, Prof-specialty
314, Private, Sales
315, Private, Machine-op-inspct
316, Self-emp-not-inc, Sales
317, Private, Machine-op-inspct
318, Private, Tech-support
319, Private, Other-service
320, Self-emp-not-inc, Exec-managerial
321, Private, Craft-repair
322, Private, Transport-moving
323, Private, Exec-managerial
324, Self-emp-not-inc, Craft-repair
325, Self-emp-not-inc, Farming-fishing
326, ?, ?
327, Private, Prof-specialty
328, Self-emp-not-inc, Handlers-cleaners
329, Private, Transport-moving
330, Private, Craft-repair
331, Private, Adm-clerical
332, Private, Other-service
333, Local-gov, Adm-clerical
334, Private, Transport-moving
335, Private, Other-service
336, Private, Craft-repair
337, Private, Prof-specialty
338, Private, Sales
339, Private, Other-service
340, Private, Sales
341, Private, Craft-repair
342, State-gov, Protective-serv
343, Private, Farming-fishing
344, State-gov, Protective-serv
345, Self-emp-not-inc, Sales
346, ?, ?
347, ?, ?
348, Private, Other-service
349, Private, Prof-specialty
350, Private, Exec-managerial
351, Private, Other-service
352, Private, Exec-managerial
353, Local-gov, Transport-moving
354, ?, ?
355, Federal-gov, Adm-clerical
356, Private, Other-service
357, Private, Tech-support
358, Private, Adm-clerical
359, Self-emp-not-inc, Craft-repair
360, Private, Other-service
361, Private, Prof-specialty
362, Private, Transport-moving
363, Private, Exec-managerial
364, Private, Sales
365, Private, Craft-repair
366, Self-emp-not-inc, Sales
367, Private, Sales
368, Private, Exec-managerial
369, Private, Sales
370, Federal-gov, Adm-clerical
371, Private, Other-service
372, State-gov, Machine-op-inspct
373, Private, Machine-op-inspct
374, Private, Craft-repair
375, Local-gov, Adm-clerical
376, Private, Craft-repair
377, Private, Sales
378, Self-emp-not-inc, Exec-managerial
379, Private, Sales
380, Private, Transport-moving
381, Private, Craft-repair
382, Private, Craft-repair
383, Private, Sales
384, Local-gov, Transport-moving
385, Private, Other-service
386, Private, Machine-op-inspct
387, Private, Adm-clerical
388, Private, Adm-clerical
389, Private, Other-service
390, Private, Other-service
391, Private, Craft-repair
392, Self-emp-not-inc, Craft-repair
393, State-gov, Exec-managerial
394, Private, Other-service
395, Private, Tech-support
396, Private, Handlers-cleaners
397, ?, ?
398, Private, Exec-managerial
399, Self-emp-inc, Exec-managerial
400, Private, Handlers-cleaners
401, Private, Other-service
402, State-gov, Protective-serv
403, Private, Tech-support
404, Private, Handlers-cleaners
405, Private, Exec-managerial
406, Private, Adm-clerical
407, Self-emp-not-inc, Craft-repair
408, ?, ?
409, Private, Exec-managerial
410, Local-gov, Other-service
411, Private, Handlers-cleaners
412, Private, Exec-managerial
413, Private, Exec-managerial
414, State-gov, Machine-op-inspct
415, Private, Craft-repair
416, Private, Machine-op-inspct
417, Private, Other-service
418, Local-gov, Machine-op-inspct
419, State-gov, Transport-moving
420, Private, Sales
421, Private, Handlers-cleaners
422, State-gov, Exec-managerial
423, Private, Farming-fishing
424, Private, Craft-repair
425, Private, Transport-moving
426, Federal-gov, Prof-specialty
427, Private, Handlers-cleaners
428, Self-emp-inc, Exec-managerial
429, Local-gov, Prof-specialty
430, ?, ?
431, ?, ?
432, Self-emp-not-inc, Prof-specialty
433, Private, Other-service
434, Private, Craft-repair
435, Private, Prof-specialty
436, Local-gov, Farming-fishing
437, Local-gov, Protective-serv
438, Private, Adm-clerical
439, Local-gov, Adm-clerical
440, Private, Prof-specialty
441, Private, Adm-clerical
442, Federal-gov, Armed-Forces
443, Private, Prof-specialty
444, Private, Craft-repair
445, Private, Sales
446, Private, Exec-managerial
447, Private, Craft-repair
448, Private, Machine-op-inspct
449, ?, ?
450, Private, Machine-op-inspct
451, Self-emp-inc, Craft-repair
452, Private, Craft-repair
453, Private, Exec-managerial
454, Self-emp-not-inc, Sales
455, Private, Machine-op-inspct
456, Private, Exec-managerial
457, Private, Transport-moving
458, Private, Transport-moving
459, ?, ?
460, Private, Farming-fishing
461, Local-gov, Transport-moving
462, Private, Prof-specialty
463, Private, Craft-repair
464, Private, Tech-support
465, Private, Adm-clerical
466, Private, Transport-moving
467, Private, Transport-moving
468, Private, Exec-managerial
469, Private, Tech-support
470, Private, Prof-specialty
471, ?, ?
472, Private, Craft-repair
473, Private, Transport-moving
474, Private, Other-service
475, Private, Craft-repair
476, Private, Other-service
477, Private, Handlers-cleaners
478, Private, Other-service
479, Private, Other-service
480, Private, Craft-repair
481, Self-emp-not-inc, Craft-repair
482, State-gov, Prof-specialty
483, Private, Craft-repair
484, ?, ?
485, Private, Adm-clerical
486, ?, ?
487, Local-gov, Transport-moving
488, Local-gov, Prof-specialty
489, Private, Sales
490, Private, Other-service
491, Federal-gov, Adm-clerical
492, Private, Exec-managerial
493, Private, Prof-specialty
494, Private, Craft-repair
495, Private, Adm-clerical
496, Private, Machine-op-inspct
497, Private, Other-service
498, Private, Prof-specialty
499, ?, ?
500, Local-gov, Farming-fishing
501, Local-gov, Transport-moving
502, Private, Adm-clerical
503, Private, Other-service
504, Private, Sales
505, Private, Exec-managerial
506, Private, Protective-serv
507, Private, Exec-managerial
508, Local-gov, Adm-clerical
509, Private, Other-service
510, Private, Handlers-cleaners
511, ?, ?
512, Private, Craft-repair
513, Private, Prof-specialty
514, Private, Craft-repair
515, ?, ?
516, Private, Adm-clerical
517, ?, ?
518, ?, ?
519, Private, Prof-specialty
520, Self-emp-inc, Exec-managerial
521, Private, Exec-managerial
522, Local-gov, Handlers-cleaners
523, Local-gov, Tech-support
524, Private, Machine-op-inspct
525, Private, Sales
526, Private, Exec-managerial
527, Private, Adm-clerical
528, Self-emp-not-inc, Craft-repair
529, Self-emp-not-inc, Prof-specialty
530, Private, Machine-op-inspct
531, Private, Machine-op-inspct
532, Private, Other-service
533, Private, Exec-managerial
534, Private, Prof-specialty
535, Local-gov, Tech-support
536, Private, Priv-house-serv
537, Private, Craft-repair
538, Self-emp-inc, Farming-fishing
539, ?, ?
540, Private, Transport-moving
541, Private, Prof-specialty
542, Private, Handlers-cleaners
543, Private, Transport-moving
544, Private, Sales
545, Private, Handlers-cleaners
546, Private, Other-service
547, Local-gov, Protective-serv
548, Private, Handlers-cleaners
549, Private, Craft-repair
550, Self-emp-not-inc, Exec-managerial
551, Self-emp-not-inc, Other-service
552, Private, Adm-clerical
553, Private, Machine-op-inspct
554, Federal-gov, Craft-repair
555, Private, Machine-op-inspct
556, Private, Machine-op-inspct
557, Private, Adm-clerical
558, Private, Tech-support
559, Private, Other-service
560, Private, Transport-moving
561, Private, Sales
562, Private, Prof-specialty
563, Private, Handlers-cleaners
564, Self-emp-not-inc, Prof-specialty
565, Private, Handlers-cleaners
566, Self-emp-inc, Exec-managerial
567, Private, Other-service
568, Self-emp-not-inc, Craft-repair
569, Private, Exec-managerial
570, Private, Craft-repair
571, Private, Prof-specialty
572, Private, Sales
573, Private, Craft-repair
574, Private, Prof-specialty
575, Private, Exec-managerial
576, ?, ?
577, Self-emp-not-inc, Sales
578, Local-gov, Prof-specialty
579, Self-emp-not-inc, Craft-repair
580, ?, ?
581, Private, Sales
582, Private, Craft-repair
583, Private, Machine-op-inspct
584, Self-emp-not-inc, Tech-support
585, Private, Sales
586, Private, Adm-clerical
587, Private, Other-service
588, Private, Craft-repair
589, Self-emp-inc, Prof-specialty
590, ?, ?
591, ?, ?
592, Private, Transport-moving
593, Private, Prof-specialty
594, Private, Adm-clerical
595, Private, Sales
596, ?, ?
597, Self-emp-not-inc, Prof-specialty
598, Private, Tech-support
599, Private, Prof-specialty
600, Private, Tech-support
601, Private, Adm-clerical
602, Private, Other-service
603, Local-gov, Other-service
604, Self-emp-not-inc, Farming-fishing
605, Private, Adm-clerical
606, Private, Craft-repair
607, Private, Craft-repair
608, Local-gov, Exec-managerial
609, Private, Other-service
610, Private, Prof-specialty
611, Private, Craft-repair
612, Private, Handlers-cleaners
613, Local-gov, Prof-specialty
614, Private, Other-service
615, Private, Handlers-cleaners
616, Private, Transport-moving
617, Self-emp-not-inc, Exec-managerial
618, Self-emp-inc, Sales
619, Private, Prof-specialty
620, Private, Sales
621, Private, Other-service
622, Private, Priv-house-serv
623, Private, Transport-moving
624, Private, Handlers-cleaners
625, Private, Farming-fishing
626, Private, Sales
627, Self-emp-not-inc, Sales
628, Private, Exec-managerial
629, Private, Sales
630, Self-emp-not-inc, Other-service
631, Local-gov, Other-service
632, Private, Craft-repair
633, Private, Adm-clerical
634, Self-emp-not-inc, Craft-repair
635, Private, Other-service
636, Private, Handlers-cleaners
637, Private, Exec-managerial
638, Self-emp-inc, Transport-moving
639, Self-emp-not-inc, Prof-specialty
640, Private, Craft-repair
641, Private, Craft-repair
642, Private, Handlers-cleaners
643, Private, Sales
644, Private, Craft-repair
645, Self-emp-inc, Prof-specialty
646, Local-gov, Adm-clerical
647, Private, Craft-repair
648, ?, ?
649, State-gov, Tech-support
650, Private, Other-service
651, Private, Exec-managerial
652, Private, Prof-specialty
653, State-gov, Exec-managerial
654, Private, Machine-op-inspct
655, State-gov, Adm-clerical
656, ?, ?
657, Private, Craft-repair
658, Private, Craft-repair
659, Private, Machine-op-inspct
660, Self-emp-not-inc, Handlers-cleaners
661, Private, Sales
662, Private, Prof-specialty
663, Local-gov, Prof-specialty
664, Private, Sales
665, Private, Prof-specialty
666, State-gov, Transport-moving
667, Private, Craft-repair
668, ?, ?
669, Private, Machine-op-inspct
670, Federal-gov, Exec-managerial
671, ?, ?
672, Self-emp-not-inc, Farming-fishing
673, Private, Exec-managerial
674, Self-emp-inc, Sales
675, Private, Sales
676, Private, Other-service
677, Private, Adm-clerical
678, Private, Craft-repair
679, Self-emp-not-inc, Exec-managerial
680, Local-gov, Protective-serv
681, Private, Craft-repair
682, Self-emp-not-inc, Craft-repair
683, Local-gov, Exec-managerial
684, State-gov, Adm-clerical
685, Private, Exec-managerial
686, ?, ?
687, Local-gov, Prof-specialty
688, Private, Exec-managerial
689, Private, Other-service
690, Local-gov, Farming-fishing
691, Private, Machine-op-inspct
692, Private, Prof-specialty
693, Private, Prof-specialty
694, State-gov, Tech-support
695, ?, ?
696, Private, Prof-specialty
697, Private, Tech-support
698, Private, Prof-specialty
699, Private, Sales
700, Local-gov, Prof-specialty
701, Private, Sales
702, Private, Handlers-cleaners
703, Self-emp-not-inc, Craft-repair
704, Private, Prof-specialty
705, Private, Exec-managerial
706, Private, Other-service
707, Private, Sales
708, Private, Craft-repair
709, Private, Other-service
710, Private, Prof-specialty
711, Private, Adm-clerical
712, Private, Prof-specialty
713, Private, Tech-support
714, Local-gov, Adm-clerical
715, Private, Other-service
716, Private, Machine-op-inspct
717, State-gov, Tech-support
718, Private, Sales
719, Private, Exec-managerial
720, Private, Other-service
721, Private, Craft-repair
722, Private, Prof-specialty
723, Local-gov, Exec-managerial
724, Private, Exec-managerial
725, Private, Prof-specialty
726, Private, Sales
727, Private, Other-service
728, Private, Other-service
729, Self-emp-not-inc, Exec-managerial
730, Private, Other-service
731, Private, Adm-clerical
732, Private, Adm-clerical
733, Private, Other-service
734, ?, ?
735, Private, Craft-repair
736, Private, Sales
737, State-gov, Prof-specialty
738, Private, Other-service
739, Private, Tech-support
740, Private, Other-service
741, Self-emp-not-inc, Transport-moving
742, Private, Exec-managerial
743, Private, Tech-support
744, Private, Handlers-cleaners
745, Local-gov, Prof-specialty
746, Private, Transport-moving
747, Private, Adm-clerical
748, Private, Craft-repair
749, State-gov, Prof-specialty
750, State-gov, Exec-managerial
751, Private, Prof-specialty
752, Self-emp-not-inc, Craft-repair
753, Private, Transport-moving
754, Private, Handlers-cleaners
755, Private, Craft-repair
756, Private, Transport-moving
757, Local-gov, Prof-specialty
758, Federal-gov, Adm-clerical
759, Private, Farming-fishing
760, Private, Other-service
761, Local-gov, Adm-clerical
762, Local-gov, Protective-serv
763, Self-emp-inc, Exec-managerial
764, Private, Sales
765, Private, Other-service
766, State-gov, Other-service
767, Private, Sales
768, Self-emp-not-inc, Sales
769, Private, Machine-op-inspct
770, Private, Farming-fishing
771, Private, Farming-fishing
772, Private, Craft-repair
773, Private, Tech-support
774, Private, Sales
775, Local-gov, Tech-support
776, Private, Adm-clerical
777, Private, Prof-specialty
778, Private, Sales
779, Private, Tech-support
780, State-gov, Craft-repair
781, Private, Machine-op-inspct
782, Private, Exec-managerial
783, Self-emp-not-inc, Exec-managerial
784, Private, Sales
785, Private, Adm-clerical
786, Self-emp-not-inc, Farming-fishing
787, Private, Machine-op-inspct
788, ?, ?
789, ?, ?
790, Private, Tech-support
791, Self-emp-inc, Tech-support
792, ?, ?
793, Private, Sales
794, Private, Transport-moving
795, Private, Other-service
796, Private, Machine-op-inspct
797, Private, Machine-op-inspct
798, Private, Tech-support
799, Private, Exec-managerial
800, Private, Craft-repair
801, Private, Other-service
802, Self-emp-not-inc, Farming-fishing
803, Private, Adm-clerical
804, Private, Sales
805, Private, Craft-repair
806, ?, ?
807, Private, Prof-specialty
808, Private, Prof-specialty
809, Private, Transport-moving
810, Private, Other-service
811, ?, ?
812, Private, Exec-managerial
813, Private, Adm-clerical
814, Private, Farming-fishing
815, Self-emp-not-inc, Other-service
816, Private, Prof-specialty
817, Private, Craft-repair
818, Private, Transport-moving
819, Private, Transport-moving
820, Private, Adm-clerical
821, Private, Prof-specialty
822, Private, Tech-support
823, Private, Adm-clerical
824, Private, Exec-managerial
825, Private, Transport-moving
826, Private, Other-service
827, Private, Machine-op-inspct
828, Private, Adm-clerical
829, Self-emp-inc, Sales
830, ?, ?
831, Private, Adm-clerical
832, Private, Handlers-cleaners
833, Self-emp-not-inc, Exec-managerial
834, ?, ?
835, Private, Machine-op-inspct
836, Private, Adm-clerical
837, Private, Prof-specialty
838, Private, Exec-managerial
839, Private, Farming-fishing
840, Private, Sales
841, Private, Craft-repair
842, Private, Prof-specialty
843, Local-gov, Prof-specialty
844, Private, Craft-repair
845, Private, Prof-specialty
846, Local-gov, Other-service
847, Private, Exec-managerial
848, Private, Craft-repair
849, Private, Craft-repair
850, Private, Prof-specialty
851, Private, Adm-clerical
852, Self-emp-not-inc, Sales
853, Private, Prof-specialty
854, State-gov, Prof-specialty
855, Private, Transport-moving
856, Local-gov, Adm-clerical
857, Private, Other-service
858, Private, Prof-specialty
859, Private, Exec-managerial
860, Private, Adm-clerical
861, Private, Farming-fishing
862, Private, Exec-managerial
863, Self-emp-inc, Exec-managerial
864, Private, Machine-op-inspct
865, Private, Sales
866, Private, Handlers-cleaners
867, Private, Sales
868, Private, Farming-fishing
869, Self-emp-not-inc, Prof-specialty
870, Private, Exec-managerial
871, Private, Transport-moving
872, Self-emp-not-inc, Sales
873, Self-emp-not-inc, Sales
874, Private, Other-service
875, Private, Exec-managerial
876, Private, Handlers-cleaners
877, Private, Adm-clerical
878, Private, Transport-moving
879, Private, Adm-clerical
880, Private, Machine-op-inspct
881, Private, Adm-clerical
882, Private, Craft-repair
883, Private, Sales
884, Private, Craft-repair
885, ?, ?
886, Private, Exec-managerial
887, Self-emp-inc, Craft-repair
888, Self-emp-not-inc, Sales
889, Private, Tech-support
890, ?, ?
891, Self-emp-not-inc, Exec-managerial
892, Private, Adm-clerical
893, Private, Prof-specialty
894, Self-emp-not-inc, Farming-fishing
895, Private, Prof-specialty
896, Private, Sales
897, Private, Exec-managerial
898, Private, Exec-managerial
899, Private, Tech-support
900, Local-gov, Other-service
901, Self-emp-not-inc, Craft-repair
902, Private, Handlers-cleaners
903, ?, ?
904, Private, Sales
905, Private, Machine-op-inspct
906, Private, Machine-op-inspct
907, Private, Prof-specialty
908, Self-emp-not-inc, Handlers-cleaners
909, Private, Tech-support
910, Private, Sales
911, Private, Craft-repair
912, Self-emp-not-inc, Farming-fishing
913, Private, Craft-repair
914, Private, Sales
915, Private, Exec-managerial
916, Private, Prof-specialty
917, Self-emp-inc, Exec-managerial
918, Self-emp-not-inc, Exec-managerial
919, Private, Other-service
920, Private, Sales
921, Private, Transport-moving
922, Private, Machine-op-inspct
923, Private, Adm-clerical
924, ?, ?
925, Private, Machine-op-inspct
926, Private, Machine-op-inspct
927, Private, Exec-managerial
928, Private, Sales
929, Private, Priv-house-serv
930, Private, Machine-op-inspct
931, ?, ?
932, Local-gov, Other-service
933, Private, Adm-clerical
934, Private, Machine-op-inspct
935, Private, Craft-repair
936, Private, Prof-specialty
937, Private, Prof-specialty
938, Private, Craft-repair
939, Private, Sales
940, Private, Other-service
941, Private, Machine-op-inspct
942, Self-emp-inc, Exec-managerial
943, Private, Other-service
944, Private, Machine-op-inspct
945, Local-gov, Exec-managerial
946, Private, Adm-clerical
947, Self-emp-inc, Exec-managerial
948, Private, Craft-repair
949, Self-emp-not-inc, Farming-fishing
950, State-gov, Prof-specialty
951, Private, Exec-managerial
952, Private, Other-service
953, Private, Other-service
954, Private, Exec-managerial
955, Private, Craft-repair
956, Self-emp-inc, Sales
957, Local-gov, Transport-moving
958, Self-emp-not-inc, Exec-managerial
959, Private, Exec-managerial
960, Private, Prof-specialty
961, Private, Machine-op-inspct
962, Private, Craft-repair
963, Private, Exec-managerial
964, Private, Transport-moving
965, Private, Other-service
966, Self-emp-inc, Sales
967, Self-emp-not-inc, Craft-repair
968, Private, Exec-managerial
969, ?, ?
970, Private, Craft-repair
971, Private, Tech-support
972, Private, Exec-managerial
973, Private, Craft-repair
974, Private, Transport-moving
975, Private, Sales
976, Private, Exec-managerial
977, State-gov, Prof-specialty
978, Private, Other-service
979, Private, Handlers-cleaners
980, Private, Adm-clerical
981, Private, Adm-clerical
982, ?, ?
983, Self-emp-not-inc, Farming-fishing
984, Local-gov, Protective-serv
985, Private, Other-service
986, Private, Craft-repair
987, Private, Adm-clerical
988, Private, Craft-repair
989, Private, Prof-specialty
990, Private, Sales
991, Private, Machine-op-inspct
992, Self-emp-not-inc, Craft-repair
993, Private, Adm-clerical
994, Private, Exec-managerial
995, Private, Exec-managerial
996, Private, Prof-specialty
997, Federal-gov, Exec-managerial
998, Private, Machine-op-inspct
999, Self-emp-inc, Exec-managerial
1000, Private, Other-service
1001, Private, Prof-specialty
1002, State-gov, Prof-specialty
1003, Local-gov, Prof-specialty
1004, Private, Other-service
1005, Private, Adm-clerical
1006, Private, Machine-op-inspct
1007, Self-emp-inc, Exec-managerial
1008, Self-emp-not-inc, Craft-repair
1009, Private, Sales
1010, Private, Machine-op-inspct
1011, Private, Transport-moving
1012, Private, Machine-op-inspct
1013, Private, Prof-specialty
1014, Private, Prof-specialty
1015, Private, Handlers-cleaners
1016, Private, Tech-support
1017, Private, Other-service
1018, Private, Craft-repair
1019, ?, ?
1020, Private, Craft-repair
1021, Local-gov, Prof-specialty
1022, Private, Sales
1023, Private, Other-service
1024, Private, Machine-op-inspct
1025, Private, Other-service
1026, Private, Prof-specialty
1027, Private, Exec-managerial
1028, Private, Adm-clerical
1029, Self-emp-inc, Sales
1030, Private, Adm-clerical
1031, State-gov, Other-service
1032, Private, Sales
1033, Private, Other-service
1034, ?, ?
1035, ?, ?
1036, Self-emp-inc, Exec-managerial
1037, Private, Other-service
1038, Private, Priv-house-serv
1039, ?, ?
1040, Private, Other-service
1041, Private, Machine-op-inspct
1042, Private, Adm-clerical
1043, Private, Exec-managerial
1044, Private, Tech-support
1045, Private, Prof-specialty
1046, ?, ?
1047, Private, Other-service
1048, Private, Sales
1049, Private, Prof-specialty
1050, Private, Machine-op-inspct
1051, Self-emp-not-inc, Sales
1052, Private, Adm-clerical
1053, Self-emp-not-inc, Sales
1054, Private, Craft-repair
1055, Private, Sales
1056, Self-emp-not-inc, Transport-moving
1057, Private, Craft-repair
1058, Local-gov, Prof-specialty
1059, Private, Craft-repair
1060, Self-emp-not-inc, Exec-managerial
1061, Private, Machine-op-inspct
1062, Private, Other-service
1063, Private, Other-service
1064, Private, Sales
1065, Private, Other-service
1066, Private, Prof-specialty
